Clust,Lon,Lat,Shap2014,Shap2015,Shap2016,Shap2017,Shap2018,Shap2019,Shap2020,Shap2021
2,130,10,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,130,12,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,130,14,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,130,16,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
3,130,18,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,130,20,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,130,22,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,130,24,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,130,26,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,130,28,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
5,130,30,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,130,32,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,130,34,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,130,36,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
6,130,38,0.13997236,0.062265399,-0.238741438,0.187301717,0.044203843,0.184694866,0.108707598,0.135307053
6,130,40,0.13997236,0.062265399,-0.238741438,0.187301717,0.044203843,0.184694866,0.108707598,0.135307053
4,130,42,-0.076154156,-0.048821593,0.115896653,0.096820103,0.05682074,-0.064212895,-0.059707392,0.081509635
1,132,-12,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,132,-10,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,132,-8,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,132,-6,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,132,-4,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,132,-2,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
2,132,0,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,132,2,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,132,4,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,132,6,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,132,8,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,132,10,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,132,12,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,132,14,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,132,16,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
3,132,18,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,132,20,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,132,22,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,132,24,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,132,26,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,132,28,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
5,132,30,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,132,32,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,132,34,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,132,36,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
6,132,38,0.13997236,0.062265399,-0.238741438,0.187301717,0.044203843,0.184694866,0.108707598,0.135307053
6,132,40,0.13997236,0.062265399,-0.238741438,0.187301717,0.044203843,0.184694866,0.108707598,0.135307053
6,132,42,0.13997236,0.062265399,-0.238741438,0.187301717,0.044203843,0.184694866,0.108707598,0.135307053
1,134,-10,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,134,-8,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,134,-6,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,134,-4,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
2,134,-2,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,134,0,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,134,2,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,134,4,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,134,6,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,134,8,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,134,10,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,134,12,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,134,14,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,134,16,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
3,134,18,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,134,20,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,134,22,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,134,24,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,134,26,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,134,28,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
5,134,30,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,134,32,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,134,34,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,134,36,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
6,134,38,0.13997236,0.062265399,-0.238741438,0.187301717,0.044203843,0.184694866,0.108707598,0.135307053
6,134,40,0.13997236,0.062265399,-0.238741438,0.187301717,0.044203843,0.184694866,0.108707598,0.135307053
6,134,42,0.13997236,0.062265399,-0.238741438,0.187301717,0.044203843,0.184694866,0.108707598,0.135307053
1,136,-10,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,136,-8,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,136,-6,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
1,136,-4,-0.05749725,0.090910519,0.103511867,-0.025884739,0.343399879,-0.056818247,0.249784344,-0.015849147
2,136,-2,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,136,0,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,136,2,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,136,4,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,136,6,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,136,8,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,136,10,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,136,12,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,136,14,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,136,16,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
2,136,18,0.147375493,0.213862513,0.159038256,-0.249876571,0.104396726,0.093313921,0.177938235,-0.078896483
3,136,20,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,136,22,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,136,24,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
3,136,26,-0.007694822,0.036835959,0.008803788,0.004181641,-0.054229801,-0.049637896,-0.085788337,0.015755872
7,136,28,0.806780616,0.806163649,1.080258063,0.784648605,0.194607866,-0.207892522,1.196953436,0.667635388
5,136,30,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,136,32,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,136,34,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
5,136,36,-0.046020612,-0.308074814,-0.386346147,0.244286308,0.887002813,-0.208670771,-0.181261647,0.563723026
6,136,38,0.13997236,0.062265399,-0.238741438,0.187301717,0.044203843,0.184694866,0.108707598,0.135307053
6,136,40,0.13997236,0.062265399,-0.238741438,0.187301717,0.044203843,0.184694866,0.108707598,0.135307053
6,136,42,0.13997236,0.062265399,-0.238741438,0.187301717,0.044203843,0.184694866,0.108707598,0.135307053
