Clust,Lon,Lat,Gain
2,132,14,0.004760013
2,132,16,0.004760013
3,132,18,0.003348898
3,132,20,0.003348898
3,132,22,0.003348898
3,132,24,0.003348898
3,132,26,0.003348898
3,132,28,0.003348898
5,132,30,0.003994014
5,132,32,0.003994014
5,132,34,0.003994014
5,132,36,0.003994014
6,132,38,0.003328186
6,132,40,0.003328186
6,132,42,0.003328186
1,134,-10,0.005211432
1,134,-8,0.005211432
1,134,-6,0.005211432
1,134,-4,0.005211432
2,134,-2,0.004760013
2,134,0,0.004760013
2,134,2,0.004760013
2,134,4,0.004760013
2,134,6,0.004760013
2,134,8,0.004760013
2,134,10,0.004760013
2,134,12,0.004760013
2,134,14,0.004760013
2,134,16,0.004760013
3,134,18,0.003348898
3,134,20,0.003348898
3,134,22,0.003348898
3,134,24,0.003348898
3,134,26,0.003348898
3,134,28,0.003348898
5,134,30,0.003994014
5,134,32,0.003994014
5,134,34,0.003994014
5,134,36,0.003994014
6,134,38,0.003328186
6,134,40,0.003328186
6,134,42,0.003328186
1,136,-10,0.005211432
1,136,-8,0.005211432
1,136,-6,0.005211432
1,136,-4,0.005211432
2,136,-2,0.004760013
2,136,0,0.004760013
2,136,2,0.004760013
2,136,4,0.004760013
2,136,6,0.004760013
2,136,8,0.004760013
2,136,10,0.004760013
2,136,12,0.004760013
2,136,14,0.004760013
2,136,16,0.004760013
2,136,18,0.004760013
3,136,20,0.003348898
3,136,22,0.003348898
3,136,24,0.003348898
3,136,26,0.003348898
7,136,28,0.007211445
5,136,30,0.003994014
5,136,32,0.003994014
5,136,34,0.003994014
5,136,36,0.003994014
6,136,38,0.003328186
6,136,40,0.003328186
6,136,42,0.003328186
8,136,44,0.00799912
1,138,-14,0.005211432
1,138,-12,0.005211432
1,138,-10,0.005211432
1,138,-8,0.005211432
1,138,-6,0.005211432
2,138,0,0.004760013
2,138,2,0.004760013
2,138,4,0.004760013
2,138,6,0.004760013
2,138,8,0.004760013
2,138,10,0.004760013
2,138,12,0.004760013
2,138,14,0.004760013
2,138,16,0.004760013
2,138,18,0.004760013
3,138,20,0.003348898
3,138,22,0.003348898
3,138,24,0.003348898
7,138,26,0.007211445
7,138,28,0.007211445
7,138,30,0.007211445
5,138,32,0.003994014
5,138,34,0.003994014
6,138,38,0.003328186
6,138,40,0.003328186
6,138,42,0.003328186
8,138,44,0.00799912
8,138,46,0.00799912
9,138,54,0.00497555
9,138,56,0.00497555
1,140,-16,0.005211432
1,140,-14,0.005211432
1,140,-12,0.005211432
1,140,-10,0.005211432
1,140,-8,0.005211432
2,140,-2,0.004760013
2,140,0,0.004760013
2,140,2,0.004760013
2,140,4,0.004760013
2,140,6,0.004760013
2,140,8,0.004760013
2,140,10,0.004760013
2,140,12,0.004760013
2,140,14,0.004760013
2,140,16,0.004760013
2,140,18,0.004760013
3,140,20,0.003348898
3,140,22,0.003348898
3,140,24,0.003348898
7,140,26,0.007211445
7,140,28,0.007211445
7,140,30,0.007211445
5,140,32,0.003994014
5,140,34,0.003994014
5,140,36,0.003994014
6,140,40,0.003328186
6,140,42,0.003328186
8,140,44,0.00799912
8,140,46,0.00799912
8,140,48,0.00799912
9,140,54,0.00497555
9,140,56,0.00497555
9,140,58,0.00497555
1,142,-16,0.005211432
1,142,-14,0.005211432
1,142,-12,0.005211432
1,142,-10,0.005211432
2,142,-2,0.004760013
2,142,0,0.004760013
2,142,2,0.004760013
2,142,4,0.004760013
2,142,6,0.004760013
2,142,8,0.004760013
10,142,10,0.003221175
10,142,12,0.003221175
10,142,14,0.003221175
2,142,16,0.004760013
2,142,18,0.004760013
11,142,20,0.00411749
3,142,22,0.003348898
3,142,24,0.003348898
7,142,26,0.007211445
7,142,28,0.007211445
7,142,30,0.007211445
7,142,32,0.007211445
5,142,34,0.003994014
12,142,36,0.00361628
12,142,38,0.00361628
6,142,42,0.003328186
8,142,44,0.00799912
8,142,46,0.00799912
8,142,48,0.00799912
9,142,50,0.00497555
9,142,52,0.00497555
9,142,54,0.00497555
9,142,56,0.00497555
9,142,58,0.00497555
1,144,-12,0.005211432
1,144,-10,0.005211432
1,144,-8,0.005211432
13,144,-2,0.004199444
10,144,0,0.003221175
2,144,2,0.004760013
2,144,4,0.004760013
10,144,6,0.003221175
10,144,8,0.003221175
10,144,10,0.003221175
