Clust,Lon,Lat,Lime2014,Lime2015,Lime2016,Lime2017,Lime2018,Lime2019,Lime2020,Lime2021
5,134,36,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
6,134,38,-0.038920986,-0.047413871,-0.050318348,-0.064460455,-0.060394076,-0.049421532,-0.054058964,-0.070645333
6,134,40,-0.038920986,-0.047413871,-0.050318348,-0.064460455,-0.060394076,-0.049421532,-0.054058964,-0.070645333
6,134,42,-0.038920986,-0.047413871,-0.050318348,-0.064460455,-0.060394076,-0.049421532,-0.054058964,-0.070645333
1,136,-10,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,136,-8,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,136,-6,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
1,136,-4,0.502003401,0.436365019,0.488132587,0.361055987,0.398664722,0.548633119,0.581496933,0.491211618
2,136,-2,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,136,0,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,136,2,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,136,4,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,136,6,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,136,8,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,136,10,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,136,12,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,136,14,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,136,16,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
2,136,18,-0.461456784,-0.526834953,-1.514589574,-1.41119363,-2.876823894,-0.618127476,-0.689569719,-2.160572774
3,136,20,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,136,22,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,136,24,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
3,136,26,0.399675588,0.368524543,0.11539379,0.17758689,0.495809965,0.349242405,0.467140721,0.297424461
7,136,28,1.245194762,1.601479499,1.273955106,1.287825477,1.432219313,1.360968053,1.347004194,1.608370079
5,136,30,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
5,136,32,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
5,136,34,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
5,136,36,-0.395739309,-0.410590447,-0.367084633,-0.378768208,-0.361341057,-0.362990556,-0.262251802,-0.413019588
