Z,Zs,X,Y
0.011697658516279762,0.4976199194434273,126.0,32.0
0.011698012418858116,0.4280483339436104,126.0,34.0
0.011698561899177139,0.32002929329915786,126.0,36.0
0.011699193335882728,0.19589893811790549,126.0,38.0
0.011700189851037567,0.0,126.0,40.0
0.011697876445762222,0.454778469425119,128.0,-12.0
0.011697632439247672,0.5027462467960454,128.0,-10.0
0.011697645477763717,0.5001830831197364,128.0,-8.0
0.011697792626730506,0.47125595020139144,128.0,-6.0
0.011697436861507003,0.5411937019406811,128.0,-4.0
0.011697574697248046,0.5140974002196997,128.0,-2.0
0.011697604499570434,0.5082387403881362,128.0,0.0
0.011697511367312972,0.5265470523617722,128.0,2.0
0.011697507642022674,0.5272793848407177,128.0,4.0
0.011697448037377899,0.5389967045038447,128.0,6.0
0.011697358630410735,0.5565726839985353,128.0,8.0
0.011697237558476035,0.5803734895642622,128.0,10.0
0.011697416372410362,0.545221530574881,128.0,12.0
0.01169732137750775,0.5638960087879897,128.0,14.0
0.011697218932024543,0.5840351519589894,128.0,16.0
0.011697513229958122,0.5261808861222995,128.0,18.0
0.011697174228540962,0.5928231417063347,128.0,20.0
0.011697593323699539,0.5104357378249725,128.0,22.0
0.011697725571505134,0.4844379348224094,128.0,24.0
0.011697764687053268,0.47674844379348225,128.0,26.0
0.011697462938539092,0.536067374588063,128.0,28.0
0.01169766224157006,0.4968875869644819,128.0,30.0
0.011697436861507003,0.5411937019406811,128.0,32.0
0.011697721846214836,0.4851702673013548,128.0,34.0
0.011697967715374534,0.4368363236909557,130.0,-14.0
0.011697818703762596,0.46612962284877335,130.0,-12.0
0.011697902522794311,0.4496521420725009,130.0,-10.0
0.011697747923246925,0.48004393994873673,130.0,-8.0
0.011697502054087226,0.5283778835591358,130.0,-6.0
0.011697405196539466,0.5474185280117173,130.0,-4.0
0.011697554208151405,0.5181252288538997,130.0,-2.0
0.011697354905120437,0.5573050164774808,130.0,0.0
0.011697414509765212,0.5455876968143537,130.0,2.0
0.011697384707442825,0.5514463566459172,130.0,4.0
0.011697511367312972,0.5265470523617722,130.0,6.0
0.011697313926927154,0.5653606737458806,130.0,8.0
0.011697168640605514,0.5939216404247528,130.0,10.0
0.011697112761251037,0.6049066276089344,130.0,12.0
0.011697256184927528,0.576711827169535,130.0,14.0
0.011697282261959617,0.5715854998169169,130.0,16.0
0.011697487152926032,0.5313072134749176,130.0,18.0
0.01169713138770253,0.6012449652142072,130.0,20.0
0.011697353042475288,0.5576711827169535,130.0,22.0
0.011697660378924911,0.4972537532039546,130.0,24.0
0.01169766224157006,0.4968875869644819,130.0,26.0
0.01169783360492379,0.4632002929329916,130.0,28.0
0.011698014281503265,0.4276821677041377,130.0,30.0
0.0116980496717611,0.420725009154156,130.0,32.0
0.011698120452276771,0.4068106920541926,130.0,34.0
0.011698183782211845,0.3943610399121201,130.0,36.0
0.011697874583117072,0.45514463566459173,130.0,38.0
0.011698934428206985,0.24679604540461364,130.0,40.0
0.011698638267628257,0.3050164774807763,130.0,42.0
0.011698062710277145,0.41816184547784696,132.0,-12.0
0.011697757236472671,0.47821310875137313,132.0,-10.0
0.011697725571505134,0.4844379348224094,132.0,-8.0
0.011697943500987594,0.4415964848041011,132.0,-6.0
0.011697824291698043,0.4650311241303552,132.0,-4.0
0.011697343729249542,0.5595020139143171,132.0,-2.0
0.01169730088841111,0.5679238374221897,132.0,0.0
0.011697205893508499,0.5865983156352984,132.0,2.0
0.01169754303228051,0.520322226290736,132.0,4.0
0.011697563521377151,0.5162943976565361,132.0,6.0
0.011697399608604019,0.5485170267301355,132.0,8.0
0.01169727667402417,0.572683998535335,132.0,10.0
0.011697237558476035,0.5803734895642622,132.0,12.0
0.011697222657314842,0.5833028194800439,132.0,14.0
0.01169730088841111,0.5679238374221897,132.0,16.0
